Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
tamiperez822,500,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
laddyloki,958,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
dayanara_______,81,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""My dream is to smoke with sansa stark someday"""
kebkardashian,360,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"""
adrianariv_,468,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
TheNkennia,2974,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @TomiwaTegbe: She named it after Khal Drogo
Do you people watch this show with the sound off? https://t.co/EybkMGCz04"""
marsleeps,264,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @boolin: #GameOfThrones 

how bran won the iron throne https://t.co/ejxu4KOqBC"""
Willikins,133,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @MlNOTAURUS: The winner of Game of Thrones receives a one year supply of Anastasia Beverly Hills Cosmetics and a cash prize of $100,000"""
jazstormborn,278,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @drogonsdaughter: meanwhile Daenerys with all the other Targaryens in the afterlife:

#GameofThrones https://t.co/aCEIQpE4tL"""
G1Misael,6,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
lisabbkr,71,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
Laarnor,241,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @XSHE_KAE: This man Tyrion beat more court cases than OJ lmaoo"""
Suplex_and_ddo,197,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
BlakCeezar,130,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Never Forget: Tyrion would've still rode for Dany if Jamie &amp; Cersei had lived. #GameofThrones"""
jayden_kane,404,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
littleasianchi1,137,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
GabrielaBruzua7,222,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
NewYorksDream,3193,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Queenziah: #Thefinaleepisode :
Daenerys dyes her hair and marries Bran #GameOfThronesFinale https://t.co/EUopoa3Mfa"""
thesaddestpan,16,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @LordsDontWorry: Drogon when he lands with Dany's body
#GameOfThornes https://t.co/VHhUhbflr8"""
sydneyydee,610,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
GabbyDemai,374,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @persrephones: robb stark in heaven looking down at sansa https://t.co/jbYx51ch4c"""
